World;1960;9463838.49990167
World;1961;9423934.42368303
World;1962;9732505.89022485
World;1963;10274503.991073
World;1964;10820253.0073072
World;1965;11402575.2016796
World;1966;11988321.4161014
World;1967;12413351.889943
World;1968;13087346.5712946
World;1969;13976005.5631722
World;1970;15272289.2383035
World;1971;15913710.7777326
World;1972;16680140.7889655
World;1973;17582029.2044394
World;1974;17563629.9320008
World;1975;17641960.0906793
World;1976;18580873.0444116
World;1977;19183226.4214156
World;1978;19921141.7148437
World;1979;20459807.5986511
World;1980;20396427.1153306
World;1981;19879068.5697331
World;1982;19815965.2481063
World;1983;20034812.1214878
World;1984;20636636.7592607
World;1985;21429383.1637637
World;1986;21729229.4761357
World;1987;22365639.629262
World;1988;23289432.346594
World;1989;23699896.0229529
World;1990;20625272.9741495
World;1991;20766900.8941382
World;1992;20796958.4334364
World;1993;20937123.2839878
World;1994;21052949.1017646
World;1995;21652838.8483425
World;1996;22110607.5099802
World;1997;22492054.3625593
World;1998;22613709.0352267
World;1999;22720117.5927627
World;2000;23445433.273458
World;2001;23845771.4451802
World;2002;24165261.2571346
World;2003;25285349.2444045
World;2004;26434355.2603611
World;2005;27414328.0228544
World;2006;28302931.6563452
World;2007;29368779.2020021
World;2008;29595752.3971559
World;2009;29267375.1851199
World;2010;31043476.9820017
World;2011;32021108.2567955
World;2012;32460316.8599246
World;2013;33119382.9903457
World;2014;33198729.8204723
World;2015;32995536.0200883
World;2016;33018556.3991596
World;2017;33514537.9111935
World;2018;34289350.6607638
World;2019;34344006.072096
